OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PRY Local Education Authority Primary School Fwavwei (31060232),RLOdPlz0QZu,31060232,nlldQqQk58h,PRY Local Education Authority Primary School Fwa,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Fwapwa (31060231),WCAFIKWiic2,31060231,nlldQqQk58h,PRY Local Education Authority Primary School Fwa,,1975-01-01,,,,,,,,,
PRY Local Education Authority Primary School Farin Lamba (31060230),A5KZBSyxbwX,31060230,nlldQqQk58h,PRY Local Education Authority Primary School Far,,1975-01-01,,,,,,,,,
PRY Local Education Authority Primary School  Dyenburuk (31060229),wMff0FSqNE6,31060229,nlldQqQk58h,PRY Local Education Authority Primary School  Dy,,2011-01-01,,,,,,,,,
PRY Local Education Authority Primary School  Dwei Du (31060228),NlMnU2tK9lN,31060228,nlldQqQk58h,PRY Local Education Authority Primary School  Dw,,2017-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dogon Gaba (31060227),ZAO1QrdC4o6,31060227,nlldQqQk58h,PRY Local Education Authority Primary School Dog,,1977-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dazek (31060226),BPXXpunykSt,31060226,nlldQqQk58h,PRY Local Education Authority Primary School Daz,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dawurung (31060225),B0B7EufQJYp,31060225,nlldQqQk58h,PRY Local Education Authority Primary School Daw,,2010-01-01,,,,,,,,,
PRY Local Education Authority Primary School Datet (31060224),NEU9Cju5OJp,31060224,nlldQqQk58h,PRY Local Education Authority Primary School Dat,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dashwan Kuru (31060223),LrRrs8gE4XC,31060223,nlldQqQk58h,PRY Local Education Authority Primary School Das,,2014-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dashik (31060222),e3DV9ssJwN0,31060222,nlldQqQk58h,PRY Local Education Authority Primary School Das,,2014-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dashe (31060221),ytLK8YffuCO,31060221,nlldQqQk58h,PRY Local Education Authority Primary School Das,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Daros (31060220),BwHQuWoMIsy,31060220,nlldQqQk58h,PRY Local Education Authority Primary School Dar,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dantou (31060219),gweqD4aaVGR,31060219,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,2000-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dangyuruk (31060218),v0Vc718STpH,31060218,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,2000-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dangyu Chugwi (31060217),PYCoZy17TOC,31060217,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dangyel (31060216),PvUSTt2Hdys,31060216,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,1992-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dandyes (31060215),VHCGCRx7sNB,31060215,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Danda (31060214),hcoRGnTqByc,31060214,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,2005-01-01,,,,,,,,,
PRY Local Education Authority Primary School Danchol Kuru (31060213),g3qpTkNMYJm,31060213,nlldQqQk58h,PRY Local Education Authority Primary School Dan,,2008-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dalyoho (31060212),KC3jPkPEikl,31060212,nlldQqQk58h,PRY Local Education Authority Primary School Dal,,1993-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dalloh (31060211),ugfbexvyqJT,31060211,nlldQqQk58h,PRY Local Education Authority Primary School Dal,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dakyen (31060210),lzII9HnwfO0,31060210,nlldQqQk58h,PRY Local Education Authority Primary School Dak,,1990-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dakunpyam (31060209),t1SIDUpWVHB,31060209,nlldQqQk58h,PRY Local Education Authority Primary School Dak,,2009-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dahwollwal (31060208),J8pHQGzGWmM,31060208,nlldQqQk58h,PRY Local Education Authority Primary School Dah,,2002-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dahwol Vwana (31060207),tSvZQ00QRIF,31060207,nlldQqQk58h,PRY Local Education Authority Primary School Dah,,2011-01-01,,,,,,,,,
